Year,Predicted_Mean_Temperature,Modelled_Mean_Temperature
2015,22.49884615384605,22.9
2016,22.51510489510479,22.65
2017,22.53136363636353,23.15
2018,22.547622377622275,23.52
2019,22.56388111888101,22.46
2020,22.580139860139752,22.7
2021,22.596398601398494,22.46
2022,22.61265734265724,22.88
2023,22.628916083915986,22.98
2024,22.64517482517472,23.12
2025,22.661433566433463,22.55
2026,22.677692307692205,23.09
2027,22.693951048950943,23.12
2028,22.71020979020969,23.53
2029,22.726468531468427,23.67
2030,22.742727272727173,23.46
2031,22.75898601398591,23.36
2032,22.77524475524465,22.97
2033,22.791503496503395,23.59
2034,22.80776223776213,24.85
2035,22.82402097902088,24.49
2036,22.840279720279614,23.52
2037,22.85653846153836,24.09
2038,22.872797202797106,24.73
2039,22.88905594405584,23.92
2040,22.905314685314583,23.11
2041,22.921573426573325,22.41
2042,22.93783216783207,22.93
2043,22.95409090909081,23.92
2044,22.970349650349547,23.96
2045,22.986608391608293,22.9
2046,23.00286713286703,23.23
2047,23.019125874125777,23.46
2048,23.035384615384515,24.3
2049,23.05164335664325,24.48
2050,23.067902097902,24.44
2051,23.084160839160734,23.85
2052,23.100419580419484,24.52
2053,23.116678321678226,24.18
2054,23.13293706293696,23.94
2055,23.149195804195703,24.35
2056,23.165454545454445,24.15
2057,23.18171328671319,23.87
2058,23.19797202797193,23.68
2059,23.214230769230674,23.57
2060,23.230489510489413,24.01
2061,23.24674825174815,23.92
2062,23.263006993006897,23.63
2063,23.27926573426564,23.32
2064,23.29552447552438,23.61
2065,23.31178321678312,24.07
2066,23.328041958041855,25.23
2067,23.344300699300604,24.66
2068,23.360559440559346,25.4
2069,23.376818181818088,24.63
2070,23.393076923076823,25.75
2071,23.409335664335565,25.44
2072,23.42559440559431,25.66
2073,23.44185314685305,25.3
2074,23.458111888111794,25.78
2075,23.474370629370533,24.88
2076,23.49062937062928,24.42
2077,23.506888111888017,24.38
2078,23.52314685314676,24.56
2079,23.5394055944055,24.69
2080,23.55566433566424,23.94
2081,23.571923076922985,23.92
2082,23.588181818181724,23.99
2083,23.604440559440462,24.57
2084,23.620699300699208,23.8
2085,23.636958041957943,23.88
2086,23.65321678321669,24.14
2087,23.66947552447543,24.64
2088,23.68573426573417,25.23
2089,23.701993006992915,24.83
2090,23.718251748251653,24.84
2091,23.7345104895104,24.69
2092,23.750769230769137,25.72
2093,23.767027972027883,25.36
2094,23.78328671328662,25.39
2095,23.79954545454536,24.94
2096,23.815804195804105,24.32
2097,23.832062937062844,24.46
2098,23.84832167832159,25.1
2099,23.864580419580328,24.98
